"persoonlijk inkomen (1000 euro)","Totaal","Man","Vrouw"
"0","16,4","7,2","9,2"
"2","546,5","260,6","285,9"
"4","359,2","159,4","199,8"
"6","309,2","131,9","177,2"
"8","278","111,1","166,9"
"10","284,9","108,5","176,4"
"12","665,4","131,6","533,9"
"14","452,5","145,6","306,9"
"16","390,6","133,5","257,2"
"18","490,1","180,9","309,1"
"20","850,3","320,3","530"
"22","563,2","206,5","356,7"
"24","510,5","197,9","312,6"
"26","497","205,9","291,1"
"28","471,3","201,1","270,1"
"30","453","202,3","250,6"
"32","437,6","205,9","231,7"
"34","421,9","209","212,8"
"36","410,9","212","198,8"
"38","398,5","212,3","186,1"
"40","383,6","210,5","173,2"
"42","364,8","207,9","156,9"
"44","347,8","204,1","143,7"
"46","329,4","199,9","129,5"
"48","306,2","190,7","115,5"
"50","284","181,9","102,1"
"52","258,4","165,5","92,9"
"54","236,8","153,6","83,2"
"56","215,5","141,9","73,6"
"58","196,3","131,1","65,2"
"60","184,8","123,5","61,3"
"62","167,2","113,4","53,7"
"64","150,8","104,2","46,7"
"66","146,5","101,8","44,7"
"68","133,4","93,8","39,7"
"70","121","86,4","34,6"
"72","111,1","80","31,1"
"74","104,5","76,2","28,3"
"76","93,2","68,6","24,5"
"78","84,6","62,5","22,1"
"80","75,8","56,5","19,4"
"82","70,3","52,6","17,7"
"84","66","49,8","16,2"
"86","61,1","46,1","15"
"88","54,8","41,6","13,2"
"90","49,6","37,4","12,2"
"92","48","36,7","11,3"
"94","42,4","32,5","9,9"
"96","38","29,3","8,7"
"98","35,4","27,3","8,1"
"100","32,5","25,1","7,4"
