Year,Month,Drowning
2023,January,198
2023,February,198
2023,March,233
2023,April,296
2023,May,396
2023,June,512
2023,July,700
2023,August,472
2023,September,348
2023,October,235
2023,November,194
2023,December,201
2022,January,173
2022,February,177
2022,March,260
2022,April,272
2022,May,452
2022,June,642
2022,July,732
2022,August,492
2022,September,341
2022,October,232
2022,November,201
2022,December,194
2021,January,210
2021,February,192
2021,March,253
2021,April,291
2021,May,427
2021,June,671
2021,July,694
2021,August,598
2021,September,402
2021,October,245
2021,November,176
2021,December,178
2020,January,172
2020,February,185
2020,March,238
2020,April,240
2020,May,476
2020,June,600
2020,July,769
2020,August,537
2020,September,372
2020,October,252
2020,November,173
2020,December,163
2019,January,178
2019,February,147
2019,March,208
2019,April,259
2019,May,397
2019,June,496
2019,July,669
2019,August,447
2019,September,315
2019,October,226
2019,November,184
2019,December,166
