group,rate
Pet,69.169
Pet,68.862
Control,84.738
Friend,99.692
Control,87.231
Control,84.877
Pet,70.169
Pet,64.169
Pet,58.692
Control,80.369
Control,91.754
Pet,79.662
Control,87.446
Control,87.785
Pet,69.231
Pet,75.985
Friend,91.354
Control,73.277
Friend,83.4
Friend,100.877
Control,84.523
Friend,102.154
Control,77.8
Control,70.877
Pet,86.446
Pet,97.538
Friend,89.815
Friend,80.277
Pet,85
Friend,98.2
Control,90.015
Friend,101.062
Friend,76.908
Control,99.046
Friend,97.046
Pet,69.538
Control,75.477
Control,62.646
Pet,70.077
Friend,88.015
Friend,81.6
Friend,86.985
Friend,92.492
Pet,72.262
Pet,65.446
