"RecordType","Sex","Weight","ReferenceW","DifferenceW.RefW","Latitude","Logitude"
"Preserved specimen","Female",14.5,16.7,-2.2,5.25114,-68.47602
"Preserved specimen","Female",16,16.7,-0.7,11.31669,-74.06123
"Preserved specimen","Female",20,16.7,3.3,-3.43224,-70.1435
"Preserved specimen","Female",14.2,16.7,-2.5,4.5734167,-71.3353028
"Preserved specimen","Female",17.2,16.7,0.5,5.44228,-75.7522
"Preserved specimen","Female",16,16.7,-0.7,5.44228,-75.7522
"Preserved specimen","Female",16.4,16.7,-0.3,5.44228,-75.7522
"Preserved specimen","Female",16.4,16.7,-0.3,8.43419,-77.28967
"Preserved specimen","Female",18.4,16.7,1.7,8.2859222,-77.1437028
"Preserved specimen","Female",16.1,16.7,-0.6,8.2859222,-77.1437028
"Preserved specimen","Female",17.4,16.7,0.7,8.2859222,-77.1437028
"Preserved specimen","Female",17,16.7,0.3,5.2486111,-75.685
"Preserved specimen","Female",16,16.7,-0.7,5.2486111,-75.685
"Preserved specimen","Female",16,16.7,-0.7,5.2486111,-75.685
"Preserved specimen","Female",12,16.7,-4.7,5.5046111,-74.6283056
"Preserved specimen","Female",13,16.7,-3.7,5.5046111,-74.6283056
"Preserved specimen","Female",18,16.7,1.3,6.7966667,-71.2502778
"Preserved specimen","Female",13,16.7,-3.7,9.5341667,-75.3522222
"Preserved specimen","Female",16,16.7,-0.7,9.5341667,-75.3522222
"Preserved specimen","Female",17,16.7,0.3,9.5775,-75.4511111
"Preserved specimen","Female",16,16.7,-0.7,9.5775,-75.4511111
"Preserved specimen","Female",20,16.7,3.3,5.3075,-67.95
"Preserved specimen","Female",15,16.7,-1.7,5.665,-74.7830556
"Preserved specimen","Female",15,16.7,-1.7,5.665,-74.7830556
"Preserved specimen","Female",19,16.7,2.3,5.61975,-74.58019
"Preserved specimen","Female",20,16.7,3.3,5.3075,-67.95
"Preserved specimen","Female",16.18,16.7,-0.52,9.9175,-75.1597222
"Preserved specimen","Female",15,16.7,-1.7,5.8886667,-75.1872222
"Preserved specimen","Male",15.8,16.7,-0.9,4.5734167,-71.3353028
"Preserved specimen","Male",18.2,16.7,1.5,5.44228,-75.7522
"Preserved specimen","Male",18.4,16.7,1.7,5.44228,-75.7522
"Preserved specimen","Male",18,16.7,1.3,5.44228,-75.7522
"Preserved specimen","Male",18.6,16.7,1.9,5.44228,-75.7522
"Preserved specimen","Male",18,16.7,1.3,5.44228,-75.7522
"Preserved specimen","Male",19.2,16.7,2.5,5.44228,-75.7522
"Preserved specimen","Male",18.4,16.7,1.7,5.44228,-75.7522
"Preserved specimen","Male",20,16.7,3.3,5.44228,-75.7522
"Preserved specimen","Male",20.3,16.7,3.6,5.44228,-75.7522
"Preserved specimen","Male",18,16.7,1.3,5.44228,-75.7522
"Preserved specimen","Male",18.2,16.7,1.5,8.2859222,-77.1437028
"Preserved specimen","Male",18,16.7,1.3,8.2859222,-77.1437028
"Preserved specimen","Male",18.8,16.7,2.1,5.44228,-75.7522
