intvn,intvs,volgnum
9.825436,7.930175,1
8.478803,7.481297,2
8.229426,6.932668,3
11.421446,15.610973,4
11.17207,14.36409,5
9.625935,7.581047,6
7.182045,8.628429,7
9.027431,8.678304,8
8.927681,10.124688,9
9.825436,15.461347,10
7.581047,12.319202,11
8.578554,7.930175,12
9.775561,11.122195,13
9.625935,9.67581,14
9.177057,9.57606,15
8.029925,6.932668,16
9.476309,10.074813,17
3.640898,13.566085,18
4.588529,13.216958,19
11.27182,10.224439,20
6.234414,10.972569,21
7.431421,10.623441,22
10.822943,13.266833,23
7.032419,11.970075,24
8.179551,10.473815,25
9.276808,13.167082,26
11.970075,10.074813,27
6.932668,13.366584,28
10.673317,9.975062,29
7.680798,11.371571,30
7.830424,9.426434,31
10.573566,16.05985,32
9.825436,13.067332,33
9.67581,14.36409,34
10.872818,8.678304,35
8.72818,9.226933,36
12.01995,10.573566,37
11.670823,19.201995,38
3.740648,10.723192,39
3.391521,12.668329,40
13.665835,9.825436,41
8.129676,13.665835,42
3.690773,10.972569,43
6.783042,12.86783,44
6.633416,12.269327,45
12.418953,12.917706,46
7.581047,8.329177,47
8.129676,8.329177,48
10.224439,9.326683,49
9.326683,11.571072,50
8.628429,18.104738,51
7.830424,12.369077,52
7.98005,7.481297,53
10.822943,12.967581,54
11.27182,12.618454,55
8.229426,8.528678,56
10.673317,9.226933,57
6.733167,16.359102,58
6.433915,14.064838,59
10.723192,10.024938,60
10.32419,8.778055,61
6.433915,14.064838,62
12.967581,9.975062,63
9.326683,9.027431,64
9.127182,16.558603,65
8.578554,11.720698,66
9.975062,8.229426,67
9.625935,7.98005,68
9.526185,11.9202,69
8.628429,12.518703,70
3.740648,13.017456,71
9.57606,15.012469,72
8.229426,11.072319,73
9.127182,9.426434,74
8.528678,9.57606,75
7.281796,8.678304,76
9.027431,9.975062,77
7.531172,16.458853,78
11.371571,11.870324,79
9.476309,13.067332,80
7.281796,9.426434,81
8.129676,12.76808,82
8.72818,16.05985,83
9.027431,9.426434,84
9.67581,9.027431,85
5.436409,8.229426,86
10.42394,13.216958,87
11.022444,9.925187,88
8.029925,11.820449,89
10.822943,15.461347,90
6.683292,9.276808,91
8.927681,8.129676,92
10.274314,11.471322,93
7.331671,10.773067,94
7.13217,19.850374,95
12.169576,8.977556,96
6.882793,11.17207,97
8.379052,8.927681,98
9.226933,9.67581,99
11.471322,11.371571,100
7.930175,11.371571,101
10.32419,10.42394,102
9.077307,11.17207,103
6.783042,10.224439,104
8.129676,13.167082,105
11.221945,10.32419,106
8.379052,8.578554,107
12.069825,17.705736,108
6.733167,10.074813,109
5.835411,10.274314,110
7.281796,14.563591,111
8.329177,12.668329,112
10.024938,10.224439,113
9.725686,9.925187,114
7.481297,8.778055,115
10.822943,11.27182,116
8.72818,11.321696,117
9.326683,10.074813,118
9.725686,9.077307,119
7.281796,8.528678,120
9.226933,11.670823,121
8.72818,14.314214,122
10.573566,11.870324,123
8.678304,11.620948,124
13.466334,8.329177,125
7.531172,8.72818,126
9.127182,14.563591,127
9.625935,10.623441,128
11.122195,12.668329,129
7.630923,9.177057,130
10.374065,13.765586,131
7.880299,10.224439,132
13.566085,10.723192,133
9.725686,10.024938,134
4.987531,10.673317,135
9.526185,8.977556,136
9.925187,11.122195,137
8.578554,13.815461,138
8.478803,7.830424,139
8.72818,10.723192,140
10.972569,11.571072,141
4.239401,11.620948,142
10.922693,12.718204,143
10.673317,9.226933,144
6.234414,9.476309,145
7.13217,12.518703,146
7.780549,11.072319,147
10.274314,17.007481,148
7.182045,9.975062,149
9.027431,7.630923,150
11.521197,7.431421,151
6.832918,7.431421,152
5.835411,8.578554,153
10.573566,9.077307,154
6.633416,6.832918,155
9.226933,5.63591,156
11.421446,8.478803,157
6.184539,9.67581,158
10.623441,10.224439,159
9.67581,11.870324,160
6.832918,8.778055,161
5.087282,8.678304,162
14.164589,11.221945,163
7.082294,8.129676,164
6.633416,9.226933,165
7.98005,7.381546,166
11.471322,8.927681,167
7.680798,7.830424,168
9.376559,11.471322,169
9.326683,15.511222,170
7.13217,12.319202,171
7.780549,8.72818,172
8.578554,9.57606,173
6.832918,8.977556,174
11.820449,9.875312,175
8.578554,12.219451,176
7.082294,12.269327,177
9.875312,12.119701,178
6.533666,7.481297,179
6.184539,10.32419,180
7.880299,12.219451,181
10.573566,13.815461,182
7.98005,12.069825,183
7.13217,8.428928,184
6.982544,6.184539,185
12.169576,7.082294,186
7.880299,10.673317,187
10.523691,14.413965,188
8.678304,12.668329,189
13.067332,13.266833,190
9.177057,8.82793,191
8.179551,8.578554,192
8.678304,9.67581,193
11.870324,13.416459,194
5.735661,8.628429,195
8.977556,7.880299,196
11.471322,7.481297,197
10.42394,12.01995,198
6.284289,12.718204,199
9.925187,10.074813,200
9.326683,9.127182,201
8.628429,6.932668,202
12.369077,8.778055,203
7.531172,18.952618,204
7.281796,9.625935,205
9.526185,7.23192,206
8.977556,10.822943,207
8.329177,14.563591,208
10.374065,8.82793,209
9.077307,8.628429,210
8.578554,10.32419,211
11.17207,9.775561,212
8.927681,5.53616,213
9.127182,4.638404,214
8.628429,4.638404,215
9.376559,4.78803,216
11.770574,6.932668,217
8.229426,9.077307,218
10.972569,11.421446,219
8.977556,11.471322,220
8.428928,10.773067,221
13.516209,7.680798,222
7.680798,7.331671,223
10.723192,6.832918,224
9.67581,8.279302,225
11.970075,9.127182,226
9.625935,10.024938,227
6.034913,10.224439,228
14.413965,7.98005,229
6.433915,8.72818,230
8.877805,8.927681,231
10.473815,8.877805,232
7.630923,12.76808,233
6.932668,7.281796,234
9.276808,5.885287,235
3.690773,5.286783,236
4.389027,8.528678,237
6.832918,13.067332,238
8.72818,11.072319,239
4.688279,8.877805,240
10.473815,6.284289,241
9.426434,10.623441,242
8.129676,17.306733,243
13.366584,7.381546,244
3.740648,8.528678,245
4.738155,10.723192,246
8.229426,11.072319,247
8.72818,9.975062,248
10.473815,12.069825,249
7.930175,6.733167,250
11.870324,7.730673,251
8.478803,5.985037,252
9.376559,5.286783,253
9.326683,6.284289,254
6.483791,20.149626,255
10.124688,10.723192,256
10.124688,8.428928,257
8.877805,9.625935,258
8.179551,8.678304,259
8.578554,5.137157,260
11.471322,5.835411,261
9.426434,10.124688,262
7.98005,26.034913,263
10.074813,10.024938,264
8.478803,7.481297,265
9.226933,11.571072,266
8.129676,7.98005,267
11.9202,7.032419,268
8.179551,7.281796,269
10.024938,6.832918,270
10.773067,8.179551,271
4.438903,14.014963,272
5.685786,7.630923,273
7.630923,8.528678,274
7.331671,8.179551,275
9.177057,9.775561,276
10.42394,10.42394,277
7.381546,10.124688,278
9.226933,13.216958,279
8.379052,8.229426,280
14.214464,6.134663,281
6.533666,8.428928,282
7.830424,20.947631,283
8.478803,10.274314,284
9.426434,8.229426,285
14.36409,6.334165,286
8.0798,6.832918,287
10.374065,6.433915,288
9.975062,11.221945,289
4.438903,16.857855,290
6.184539,8.927681,291
5.985037,7.830424,292
9.526185,8.927681,293
9.027431,8.179551,294
7.780549,12.668329,295
9.226933,10.623441,296
8.578554,10.473815,297
10.024938,9.67581,298
8.279302,10.473815,299
10.374065,10.374065,300
5.436409,10.723192,301
5.386534,12.219451,302
11.471322,12.76808,303
6.533666,9.127182,304
9.376559,10.224439,305
10.673317,15.710723,306
6.034913,11.17207,307
8.179551,14.962594,308
9.925187,17.456359,309
9.925187,10.773067,310
7.281796,14.114713,311
9.825436,13.865337,312
6.932668,9.975062,313
10.673317,6.433915,314
6.284289,6.433915,315
6.184539,10.32419,316
14.613466,7.780549,317
5.885287,7.032419,318
8.329177,6.633416,319
12.169576,8.977556,320
6.733167,12.269327,321
9.177057,9.925187,322
11.870324,9.875312,323
8.72818,19.900249,324
